Date,Time,Timezone,Store,Version,lastActiveUser,Retailer,Retailer StoreID,Country,lastUserSessionId,lastAppSessionId,Area,Sub Area,What was the problem?
2025-09-20,18:16:51,UTC,347,1.68.0 ,157320e33f585284b05b2ff20302e998,windsor,windsor_347,United States,PeJ7IvKbRAHI4UoqKFshl,elh8kceI_oIsfk6gde4j_,Fulfillment,Printing,"We had confirmed the order and transitioned to pack the order. The packing slip printed, however, the app was experiencing issues printing the shipping label "
2025-09-20,18:33:34,UTC,4958-FIFTHAVE,1.68.1 ,43cc287370fb583bae33982d5d420efc,vince,vince_4958-FIFTHAVE,United States,3ZYp8kmgjRVquKatj9ep-,wG-gkMSCczMDn9lNzVEEw,Fulfillment,Printing,Shipping label status 
2025-09-20,18:34:46,UTC,311,1.66.1 ,516eb85613e45af391fa7430533406ef,windsor,windsor_311,United States,sKLu9IjptICqhYTbmNacY,cRE6we_U2_Mr8UrNmQrlk,Fulfillment,Printing,None of the Shipping Labels are printing at all. I know have 4 orders backed up.
2025-09-20,18:47:02,UTC,337,1.66.1 ,fa6b1188f673501c802cb80faa8fa23a,windsor,windsor_337,United States,rTG-abE4xR5kUWjjpTTJ8,vgXToTmJTiSVjj2BXnMSI,Fulfillment,Printing,Would not print shipping label said file not found 
2025-09-20,19:07:37,UTC,2,1.66.1 ,5d24c192483b513d8d7837974b99c923,windsor,windsor_2,United States,-elYwQeuWsUqEPSU2SKK6,s3Xb_5yUD55ldOzr9s6s7,Fulfillment,Printing,Address sheet will not print 
2025-09-20,21:35:42,UTC,194,1.69.0 ,c3d10387359959068614cea25f38df29,roots,roots_194,Canada,2HUOXdKhb-x6nJXh1ziY_,AEw9ybH3jh4gjrBi-eDGT,Fulfillment,Printing,Shipping label will not load
2025-09-20,2:30:29,UTC,KEM,1.69.0 ,b70bb89abc2f5627b294daf36af7648d,williams,williams_KEM,Australia,ASQARx2yCrXmhLy1H1OMI,F_rSsEogKarM3DitiI_8T,Login,Enter PIN,"Every time i come in for a shift, the app gets stuck loading after i enter my PIN, and i have to close the app and re-open it for it to work properly."
2025-09-20,16:47:27,UTC,10050,1.69.0 ,d5f7c7d0c52c5434a741d1d8e9ceba95,shinola,shinola_10050,United States,cMP0ioOb1h6DIqvwosiHT,i2AR3X7RYVNrtwTJI0S-T,Login,Enter PIN,"Entered correct PIN, PIN incorrect"
2025-09-20,16:58:57,UTC,WC,1.69.0 ,2e4c9bc80f675902941d1eb107cd4cae,marine-layer,marine-layer_WC,United States,wOX3tYFAshtaZ2N8UlTSG,ntCPn_xA7ImhNOQr5IpUA,Login,Enter PIN,Was just loading to much 
2025-09-20,17:34:16,UTC,1a7695dc-d13a-4aeb-a342-58745e33aafb,1.69.0 ,55b4f71f0f3a54409bffebca9625f77f,untuckit,untuckit_1a7695dc-d13a-4aeb-a342-58745e33aafb,United States,vjxlyWzYsyGZsqUBtTt1R,wvk46jO74HMYhJf9_uGpQ,Login,Enter Email & Password,I was logged in a couple of minutes ago and it makes me do the whole process of logging in. It’s been doing it a lot lately 
2025-09-20,20:20:32,UTC,US-490,1.68.0 ,64a8ae95fe2b599a9cc962f4427fdf71,allsaints,allsaints_US-490,United States,0KSrJ6wpxaW5oCMY6nVhP,iZk8uSUn-KBwRuaaOS6j8,Login,Enter PIN,When entering pin it just stays on loading screen
