Date,Time,Timezone,Retailer,lastUserSessionId,store,Retailer StoreID,country,lastActiveUser,app version,Q1: How satisfied are you with the NewStore Associate App?,Q2: Can you tell us why?,Q2. Other (please specify) explain,Q3: How often do these issues occur?,"Q4: How would you rate the recent app's performance (e.g., speed, reliability)?",Q5: Where should we focus on improving the app?,Q5. Others (please specify) explain,"Q6: Any other thoughts, feedback, or ideas you have for us?",FY26 Renewals
2024-06-03,8:32:26,UTC,clarks,JXWmNYAiWc1QzbQKDfP_X,1841,clarks_1841,United Kingdom,82cb4ccda4a757ce83165569461565e0,1.49.0 ,😍 Very satisfied,,,,,,,I love this job,
2024-06-03,9:19:51,UTC,clarks,-i5VR73agCsKv6sNV5vpo,2557,clarks_2557,United Kingdom,1101b005027350889bcf40685c48ca2a,1.49.0 ,😐 Neutral,,,,,,,,
2024-06-03,9:24:09,UTC,clarks,vWjHy7uKvW47EgdNtnYm3,2257,clarks_2257,United Kingdom,bf510ff5b1b8548a84a894db33771026,1.49.0 ,🙂 Satisfied,,,,,,,,
2024-06-03,9:54:28,UTC,clarks,SRaNEt3BX4yfICMYWkHk3,2466,clarks_2466,United Kingdom,270e8278d0da5cc1b3ef7b5f033c26e2,1.49.0 ,🙂 Satisfied,,,,,,,,
2024-06-03,9:58:21,UTC,clarks,4iUKGiFOeJE5eqUnNOGuN,3831,clarks_3831,United Kingdom,924bd33c4db65e50aa7271b024d9fdda,1.49.0 ,😐 Neutral,,,,,,,,
2024-06-03,9:58:59,UTC,clarks,4iUKGiFOeJE5eqUnNOGuN,3831,clarks_3831,United Kingdom,924bd33c4db65e50aa7271b024d9fdda,1.49.0 ,🙂 Satisfied,,,,,,,,
2024-06-03,10:35:05,UTC,clarks,4_5yKbf1BR7CBvGt6Ee2_,5398,clarks_5398,United Kingdom,5c9c1cbb2a4658b4951bfff51ef8193f,1.49.0 ,😐 Neutral,,,,,,,,
2024-06-03,12:32:26,UTC,clarks,pA-BdkOFMAqlvRe8nNg08,1820,clarks_1820,United Kingdom,b44c325a24295f1baeff1f53df1db205,1.49.0 ,😐 Neutral,,,,,,,,
2024-06-03,12:57:33,UTC,clarks,FRIR2fcHWE-wupRrDUYF5,50,clarks_50,United Kingdom,2b805819d6d055ce888d70ee0e1360ff,1.49.0 ,😐 Neutral,"Compared with the functionality of the old app we used, this app doesnt match all of the features. Namely, i have to press each size shoe to see if it is in stock, this info should be available on the product page at a glance, perhaps indicating by a number of that size in store, or a simple colour coding saying yes or no",,,,,,,
2024-06-03,13:04:39,UTC,clarks,pHXUCbveB7IOBPvxBv9xq,3221,clarks_3221,United Kingdom,f83af6d513f45e2d9379aa8c5a834419,1.49.0 ,😐 Neutral,"Lots of processes have too many steps. Iphone/pads turn off too quickly. Need to be able to see store stock levels by style, also separate sale from full price. ",,,,,,,
