Cycle,Workflow,Categories (Q2 and Q5),Q2 ISSUES total,Q5 IMPROVEMENTS total,COMBINED (Q2+Q5),Cycle_canon
Aug-Sept 2025 (Q3),Login,Slow response to actions (like adding items to a cart) + Photos and content load slowly +Speed & Performance + Logging in,505,166,671,aug - sept 2025 (q3)
Aug-Sept 2025 (Q3),Scan,Slow response to actions (like adding items to a cart) + Photos and content load slowly + Speed & Performance + Searching + Scanning,539,194,733,aug - sept 2025 (q3)
Aug-Sept 2025 (Q3),Search,Slow response to actions (like adding items to a cart) + Photos and content load slowly + Too many steps to complete a task + It’s hard to find products + Speed & Performance + Searching + Ease of Navigation,823,161,984,aug - sept 2025 (q3)
Aug-Sept 2025 (Q3),Checkout,Slow response to actions (like adding items to a cart) + Too many steps to complete a task + Speed & Performance + Ease of Navigation + Taxes + Customer Capture,443,136,579,aug - sept 2025 (q3)
Aug-Sept 2025 (Q3),Payment,Too many steps to complete a task + Speed & Performance + Payment + Ease of Navigation,148,139,287,aug - sept 2025 (q3)
Oct-Nov 2024 (Q3),Login,Slow response to actions (like adding items to a cart) + Photos and content load slowly +Speed & Performance + Logging in,306,61,367,oct - nov 2024 (q3)
Oct-Nov 2024 (Q3),Scan,Slow response to actions (like adding items to a cart) + Photos and content load slowly + Speed & Performance + Searching + Scanning,310,67,377,oct - nov 2024 (q3)
Oct-Nov 2024 (Q3),Search,Slow response to actions (like adding items to a cart) + Photos and content load slowly + Too many steps to complete a task + It’s hard to find products + Speed & Performance + Searching + Ease of Navigation,514,60,574,oct - nov 2024 (q3)
Oct-Nov 2024 (Q3),Checkout,Slow response to actions (like adding items to a cart) + Too many steps to complete a task + Speed & Performance + Ease of Navigation + Taxes + Customer Capture,302,55,357,oct - nov 2024 (q3)
Oct-Nov 2024 (Q3),Payment,Too many steps to complete a task + Speed & Performance + Payment + Ease of Navigation,125,60,185,oct - nov 2024 (q3)
