Date,Time,Timezone,Retailer,lastUserSessionId,store,Retailer StoreID,country,lastActiveUser,app version,Q1: How satisfied are you with the NewStore Associate App?,Q2: Can you tell us why?,Q2. Other (please specify) explain,Q3: How often do these issues occur?,"Q4: How would you rate the recent app's performance (e.g., speed, reliability)?",Q5: Where should we focus on improving the app?,Q5. Others (please specify) explain,"Q6: Any other thoughts, feedback, or ideas you have for us?"
2024-10-01,13:20:54,UTC,clarks,Op-QMYMdgA67YHn0FDpdN,2523,clarks_2523,#N/A,d1948919db485653bc6cbd9733b18fac,1.55.0 ,🙁 Unsatisfied,"`Photos and content load slowly.` ,`The login process interrupts my work`",,Occasionally (2-3 times per week),😐 OK,"`Speed and Performance` ,`Ease of Navigation` ,`Payment`",,
2024-10-01,20:51:03,UTC,windsor,eocX7Dnjodea_GBa-8cRQ,307,windsor_307,#N/A,0e24656cab00589d9d09a5870d55e118,1.50.2 ,😍 Very satisfied,,,,😍 Excellent,"`Logging in` ,`Searching`",,
2024-10-01,22:01:13,UTC,williams,p9aqzfrJkAkEfrMJtK2sI,KFK,williams_KFK,,84b4b6f4d9f050c5b1b443cf5029a6e2,1.52.0 ,😐 Neutral,`Photos and content load slowly.`,,Consistently (daily),☹️ Poor,`Searching`,,
2024-10-02,0:23:37,UTC,mathers,CSRZ2lowA4Pblx1mEFMfS,JAH,mathers_JAH,,76d759a30a8959beb09ace0913c27d0a,1.52.0 ,🙂 Satisfied,,,,🙂 Good,"`Scanning` ,`Others (please specify)`",Keyboard keeps popping up when not wanted. Need to have a down keyboard button. ,Camera is very sensitive and scans in the second between changing screens. 
2024-10-02,0:35:46,UTC,djconcession,2xNsKv-d1Pf1JMCXTk0vp,QAE,djconcession_QAE,#N/A,98adaf421f215f93bebe0fc6f06492bc,1.52.0 ,😐 Neutral,"`Photos and content load slowly.` ,`Slow response to actions (like adding items to a cart)` ,`The login process interrupts my work`",,Consistently (daily),😐 OK,"`Logging in` ,`Searching`",,
2024-10-02,2:28:22,UTC,williams,Nc_N1tyoN-D7fr7dNGTfg,KCS,williams_KCS,,3cc1c9e34d02560796af1a7985a111aa,1.52.0 ,😐 Neutral,`Photos and content load slowly.`,,Rarely (Once a week or less),🙂 Good,"`Speed and Performance` ,`Logging in` ,`Customer Capture`",,
2024-10-02,4:05:21,UTC,williams,AJ0gUgRDSysbOeKVjdjTu,KHW,williams_KHW,#N/A,e1835816d7665340bd651c9f639ca447,1.52.0 ,🙁 Unsatisfied,"`Photos and content load slowly.` ,`Slow response to actions (like adding items to a cart)` ,`Too many steps to complete a task.` ,`The login process interrupts my work` ,`The app is slow to open after I log in.`",,Consistently (daily),😭 Very poor,"`Speed and Performance` ,`Logging in` ,`Searching` ,`Customer Capture`",,
2024-10-02,5:10:20,UTC,williams,waILnlcSmNJSvGaBC4h_P,KDB,williams_KDB,,17cc63e17bae5ab1bc86bf2847404760,1.52.0 ,🙁 Unsatisfied,"`Photos and content load slowly.` ,`Slow response to actions (like adding items to a cart)` ,`The app is slow to open after I log in.` ,`Other (please specify)`",When pay cash its to long to print the docket. ,Frequently (more than 3 times per week),😐 OK,`Payment`,,None
2024-10-02,6:09:51,UTC,williams,SGGTxmZWUlsH-iXLhpZ3g,KHI,williams_KHI,,e6c47f9634b554c6848691f2288b56c1,1.52.0 ,😐 Neutral,"`Slow response to actions (like adding items to a cart)` ,`The app is slow to open after I log in.`",,Occasionally (2-3 times per week),😐 OK,"`Speed and Performance` ,`Scanning` ,`Customer Capture` ,`Payment`",,No
2024-10-02,13:52:43,UTC,clarks,U9iOy7w6IUsDiCYgPab8A,3829,clarks_3829,,b97fb96433f95ec5900c20ece5a5b1c5,1.55.0 ,😭 Very Unsatisfied,"`Slow response to actions (like adding items to a cart)` ,`Too many steps to complete a task.` ,`The login process interrupts my work`",,Consistently (daily),😐 OK,"`Logging in` ,`Scanning`",,
2024-10-02,16:08:40,UTC,clarks,S9tJEBG9ERNap8zB1EWPU,1778,clarks_1778,,a4348c451bd050a8aeb72d46e60e777c,1.55.0 ,🙁 Unsatisfied,,,,,,,
2024-10-02,16:16:58,UTC,windsor,LRc2DJ5XknE9jE3o_RKMR,283,windsor_283,,22b1dd03c0795be3b63f0e02d7ce6930,1.50.2 ,😐 Neutral,,,,,,,
2024-10-02,16:52:32,UTC,windsor,UrNFR79yAIxJT4rSObpW4,60,windsor_60,,c57073ab7b3855f1ab91d016313e8066,1.52.0 ,🙂 Satisfied,,,,🙂 Good,`Logging in`,,
2024-10-02,17:25:13,UTC,clarks,KFuRZGH0yViaZN49hu3ur,3829,clarks_3829,,1772869fd3b95da79e15736578f657df,1.55.0 ,🙂 Satisfied,,,,😐 OK,"`Logging in` ,`Scanning` ,`Searching` ,`Customer Capture` ,`Ease of Navigation` ,`Payment`",,Add the quick shortcuts for discounts back and add the option to choose a default reciept printer next to the print button to make it quicker to print reciepts when stationed at to a till desk
2024-10-02,17:25:46,UTC,windsor,_RXHx_Ynv3r-Sd8UDqrg-,2,windsor_2,,5d24c192483b513d8d7837974b99c923,1.50.2 ,🙁 Unsatisfied,"`Photos and content load slowly.` ,`Slow response to actions (like adding items to a cart)` ,`The login process interrupts my work` ,`The app is slow to open after I log in.`",,Frequently (more than 3 times per week),😭 Very poor,"`Speed and Performance` ,`Logging in` ,`Scanning` ,`Ease of Navigation`",,
2024-10-02,18:46:06,UTC,windsor,A1UsuuRwy4ii3f8V5n_yz,136,windsor_136,,f1b779b410835f1bbb15be973a2c8608,1.50.2 ,🙂 Satisfied,,,,🙂 Good,`Searching`,,
2024-10-02,22:58:18,UTC,williams,-JY9LMCtaozB5yIz3uelH,KHL,williams_KHL,,4f71fa6872035e81a4236e573ec18cac,1.52.0 ,🙂 Satisfied,,,,😐 OK,"`Scanning` ,`Searching`",,
2024-10-02,23:19:49,UTC,windsor,mji4XIoq2KmmfrNAYcVeO,35,windsor_35,,0109eb0f298f55369b761b7c8efb17d8,1.52.0 ,😐 Neutral,,,,,,,
2024-10-03,0:05:27,UTC,windsor,kPRn5okIerpgYjxu2Yny8,342,windsor_342,,1e7c810bf9e252b9a3298cea96021590,1.50.2 ,😍 Very satisfied,,,,😍 Excellent,`Speed and Performance`,, 
2024-10-03,1:54:55,UTC,williams,iS8Hl8ASjY50JXRQp5vgA,KFC,williams_KFC,,52c1a1a6142a509189fa6edb15b64baa,1.52.0 ,😭 Very Unsatisfied,,,,,,,
2024-10-03,3:32:54,UTC,williams,TLCN4hJftHiidGmR9mRWh,KDM,williams_KDM,,5af66de607695272a9aedf060be52e08,1.52.0 ,😐 Neutral,"`Photos and content load slowly.` ,`The login process interrupts my work` ,`The app is slow to open after I log in.`",,Consistently (daily),🙂 Good,`Logging in`,,
2024-10-03,4:47:51,UTC,mathers,fyoU1D1ZgNwOJ3oBP-P3S,JAR,mathers_JAR,,1a78e6623d165c3ca16c470d6c50f83c,1.52.0 ,🙂 Satisfied,,,,🙂 Good,`Others (please specify)`,"Freezes more than not when svanning in stock. When scanning a shoe label, have a button to print label before having to go into product details etc. quicker and easier way to label shoes ","Only to have an option to print a barcode for a shoe before going into the product detailsafter scanning a shoe box barcode. Also, when searching what other stores have a shoe, put sll the stores with their actual info up the top instead of having to scroll all the way down and it being after the store codes as that means nothing to us "
2024-10-03,7:30:02,UTC,williams,98Xy-c7bUAR5ECgvXB2Nj,KBH,williams_KBH,,28b34136a0d85dd59db41921a77f7567,1.52.0 ,🙂 Satisfied,,,,🙂 Good,`Scanning`,,
2024-10-03,9:24:39,UTC,clarks,OUdbFTowasSPRZ6Fk_Fmv,5411,clarks_5411,,3864f34c687956e4b6f374daaa9ddae9,1.53.1 ,😐 Neutral,,,,,,,
2024-10-03,9:51:01,UTC,clarks,t1ax5n6mmUkqogR-5612T,33,clarks_33,,a5ecc4cfed1e5b1387ddcac2f8e6554d,1.55.0 ,😍 Very satisfied,,,,😍 Excellent,`Scanning`,,
2024-10-03,11:16:02,UTC,clarks,LHKqhmnW1j5mm8mfEDQSY,6298,clarks_6298,,23997e5d945a52c99248fbf5ff472a43,1.55.0 ,🙂 Satisfied,,,,😍 Excellent,`Searching`,,
2024-10-03,12:03:02,UTC,clarks,7ym4UEA2h0fkzaw_PDKpJ,2342,clarks_2342,,74af132bf9d95b518e812de5a5d847e1,1.55.0 ,🙂 Satisfied,,,,😐 OK,"`Speed and Performance` ,`Scanning` ,`Searching` ,`Others (please specify)`",Ordering can sometimes take a long time ,
2024-10-03,12:56:54,UTC,clarks,w_AWsV6BhT-JGNb1vkZQJ,3019,clarks_3019,,7a80da6fa41e5ac9949ee5b479bde4c3,1.55.0 ,😭 Very Unsatisfied,,,,,,,
2024-10-03,15:05:59,UTC,windsor,1pAT_g_zEPU0BW_B9l7jE,200,windsor_200,,ff925029a34b5cef89c20d959b3a0c9e,1.50.2 ,🙂 Satisfied,,,,😍 Excellent,`Speed and Performance`,,
2024-10-03,16:56:37,UTC,windsor,FAW5y4iDNU0q6u3H1gISV,35,windsor_35,,0109eb0f298f55369b761b7c8efb17d8,1.50.2 ,😭 Very Unsatisfied,"`Photos and content load slowly.` ,`Slow response to actions (like adding items to a cart)` ,`The login process interrupts my work` ,`Other (please specify)`",Picture zoom is not good ,Frequently (more than 3 times per week),☹️ Poor,"`Speed and Performance` ,`Logging in` ,`Scanning`",,
2024-10-03,18:11:37,UTC,windsor,O7nnVTnWpjHCWV0HfN4un,291,windsor_291,,9110269ae9d65d7e923926d309470691,1.50.2 ,😐 Neutral,"`The login process interrupts my work` ,`Other (please specify)`",Won’t recognize my pin sometimes,Occasionally (2-3 times per week),🙂 Good,,,
2024-10-03,19:19:03,UTC,marine-layer,7oTUqpGuIaFfJMNyFWT0G,HVIL,marine-layer_HVIL,,b2746ec5ee7b57a9b7f2aa41d702bb0b,1.55.0 ,🙂 Satisfied,,,,🙂 Good,,,
2024-10-03,20:07:14,UTC,windsor,,,windsor_,,,1.55.0 ,😐 Neutral,"`Too many steps to complete a task.` ,`The app is slow to open after I log in.`",,Consistently (daily),☹️ Poor,"`Speed and Performance` ,`Logging in`",,
2024-10-03,20:08:38,UTC,windsor,,,windsor_,,,1.55.0 ,😐 Neutral,,,,,,,
2024-10-03,20:19:56,UTC,windsor,,,windsor_,,,1.55.0 ,🙂 Satisfied,,,,🙂 Good,`Speed and Performance`,,
2024-10-03,22:29:04,UTC,windsor,,,windsor_,,,1.55.0 ,🙂 Satisfied,,,,🙂 Good,"`Logging in` ,`Searching`",,
2024-10-03,23:29:20,UTC,williams,aEeLYEb_USI4VXI2GMMpm,KGC,williams_KGC,,53c3241a1e255387b8544b1386bf7f96,1.52.0 ,😐 Neutral,"`Photos and content load slowly.` ,`The app is slow to open after I log in.` ,`Other (please specify)`",Having to press on the arrow to open it up to other sizes wastes time.,Consistently (daily),🙂 Good,"`Speed and Performance` ,`Logging in` ,`Searching` ,`Ease of Navigation`",,It would be easier for our customers if what we see on our screen when doing a sale is reflected in the exact same thing they see in their receipt as as it is now customers get confused...so i belive the receipts a too confusing for them. 
2024-10-04,0:00:48,UTC,windsor,,,windsor_,,,1.55.0 ,😐 Neutral,,,,,,,
2024-10-04,0:07:59,UTC,windsor,,,windsor_,,,1.55.0 ,😍 Very satisfied,,,,😍 Excellent,`Scanning`,,
2024-10-04,0:16:02,UTC,williams,5to1Vb7piImQBEy2w8xLL,KFG,williams_KFG,,c5702444d1485625a83e851b979317c5,1.52.0 ,😐 Neutral,`Too many steps to complete a task.`,,Consistently (daily),😐 OK,`Ease of Navigation`,,
2024-10-04,1:33:27,UTC,mathers,_YcKUMBys37_aPROJVmlG,JAP,mathers_JAP,,8ddf20aeac3c5cce8240310bb01b842c,1.52.0 ,😐 Neutral,`Other (please specify)`,Takes ages to scan stock in as it wont recognise the barcode 4/5 times,Consistently (daily),😐 OK,`Scanning`,,
2024-10-04,2:36:31,UTC,williams,L0ovnhAh1yNbfB1GaTNV8,KDK,williams_KDK,,a365b1b9d9105baba8cf9050820be49e,1.52.0 ,😐 Neutral,`The app is slow to open after I log in.`,,Occasionally (2-3 times per week),🙂 Good,"`Speed and Performance` ,`Logging in` ,`Customer Capture`",,
2024-10-04,3:13:13,UTC,williams,iiMIYFbDeDvJ7y4Ak2YQZ,KDG,williams_KDG,,ec1105bb639b5e3fb417bf86642564e7,1.52.0 ,😍 Very satisfied,,,,,,,
2024-10-04,3:19:37,UTC,williams,-Ow9imXsh_7X2y_ONSrl6,KHK,williams_KHK,,8142467ce2f9563bb1a7b737481ba61d,1.52.0 ,🙂 Satisfied,,,,🙂 Good,"`Searching` ,`Ease of Navigation`",,
2024-10-04,4:09:37,UTC,mathers,Il4nYGLKzhNrT-Q4sMCHn,JBG,mathers_JBG,,7a0a4852b5e253b09df20115b333fbdf,1.52.0 ,🙂 Satisfied,,,,🙂 Good,"`Speed and Performance` ,`Scanning` ,`Searching`",,
2024-10-04,7:38:03,UTC,clarks,XZUmBy3fKt1aAnfT32bUA,7768,clarks_7768,,396dc38c6ab1542582d620caa13a0ec2,1.55.0 ,🙂 Satisfied,,,,🙂 Good,`Speed and Performance`,,
2024-10-04,8:56:25,UTC,clarks,q9evwbkJUL-WBq-ju89X9,1901,clarks_1901,,7592b7f19d155aed82abd72cc891f431,1.55.0 ,🙂 Satisfied,,,,🙂 Good,"`Speed and Performance` ,`Payment`",,
2024-10-04,10:20:06,UTC,clarks,OUdbFTowasSPRZ6Fk_Fmv,5411,clarks_5411,,3864f34c687956e4b6f374daaa9ddae9,1.53.1 ,😐 Neutral,,,,,,,
2024-10-04,10:31:46,UTC,clarks,BcjhwFTa4GP3HWFU2LoIt,5445,clarks_5445,,af79a6876eff536e8297f6b092947398,1.55.0 ,🙂 Satisfied,,,,😐 OK,,,
