Date,Time,Timezone,Page,Retailer,User Agent,Q1: How would rate your satisfaction with the Omnichannel Manager (NOM) at newstore.com?,Q2: Why are you unsatisfied?,Q3: What should we prioritize improving in NOM?,Q3. Other (Please specify) explain,Q4: Select your job title,Q4. Other (Please specify) explain,Q5: What are the tasks you use NOM for?,Q5. Other (Please specify) explain,Q6: Anything else to add?
2025-10-18,23:29:39,UTC,https://manager.5sn.p.newstore.net/,5sn,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",Extremely Disappointed,,,,,,,,
2025-10-17,17:05:09,UTC,https://manager.allsaints.p.newstore.net/sales/orders?page=0&pagesize=10&sortby=placedat&dir=desc,allsaints,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",Happy,,`Make it more user friendly`,,Customer Service Representative,,`Looking up customer information`,,Nothing
2025-10-10,10:17:28,UTC,https://manager.allsaints.p.newstore.net/sales/orders?page=0&pagesize=10&sortby=placedat&dir=desc,allsaints,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Safari/605.1.15",Happy,,,,Store Manager or Assistant Store Manager,,"`Using Insights and reports` ,`Looking up orders and order statuses` ,`Managing products and inventory`",,
2025-10-10,11:25:59,UTC,https://manager.allsaints.p.newstore.net/store-operations/inventory/stock-on-hand?count=3&location_id=uk-75&minimum_on_hand=1&offset=7&stock_location_id=faulty,allsaints,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",Neither Happy Nor Disappointed,,`Make it more user friendly`,,Store Manager or Assistant Store Manager,,"`Using Insights and reports` ,`Managing products and inventory`",,
2025-10-10,12:20:42,UTC,https://manager.allsaints.p.newstore.net/settings/users-and-roles/users,allsaints,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",Neither Happy Nor Disappointed,,`Make it more user friendly`,,Store Manager or Assistant Store Manager,,"`Using Insights and reports` ,`Looking up customer information` ,`Managing products and inventory`",,
2025-10-10,16:24:45,UTC,https://manager.allsaints.p.newstore.net/insights/explore/liveboards,allsaints,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",Disappointed,"`NOM lacks features or functionality I need.` ,`NOM is confusing to navigate.` ,`Other (Please describe)`","`Make it more user friendly` ,`Other (Please specify)`",does not show true numbers in overall store performance,Store Manager or Assistant Store Manager,,"`Using Insights and reports` ,`Looking up orders and order statuses` ,`Looking up customer information` ,`Managing products and inventory` ,`Managing coupons and promotions` ,`Managing order fulfillment` ,`Other (Please specify)`",team member performance,
2025-10-10,16:50:04,UTC,https://manager.allsaints.p.newstore.net/insights/explore/liveboards,allsaints,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",Neither Happy Nor Disappointed,,`Make it more user friendly`,,Store Manager or Assistant Store Manager,,`Using Insights and reports`,,
2025-10-10,18:13:35,UTC,https://manager.allsaints.p.newstore.net/insights/explore/liveboards,allsaints,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1.1 Safari/605.1.15",Disappointed,`NOM lacks features or functionality I need.`,"`Make it more user friendly` ,`Improve the speed and performance` ,`Make it easier to import and export data`",,Store Manager or Assistant Store Manager,,"`Using Insights and reports` ,`Looking up orders and order statuses` ,`Looking up customer information` ,`Managing products and inventory`",,
2025-10-11,22:26:24,UTC,https://manager.allsaints.p.newstore.net/sales/orders?page=0&pagesize=10&sortby=placedat&dir=desc,allsaints,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",Happy,,`Make it easier to import and export data`,,Store Manager or Assistant Store Manager,,"`Using Insights and reports` ,`Looking up orders and order statuses` ,`Managing products and inventory` ,`Managing order fulfillment`",,
2025-10-12,22:04:08,UTC,https://manager.allsaints.p.newstore.net/insights/explore/liveboards,allsaints,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",Neither Happy Nor Disappointed,,"`Make it more user friendly` ,`Improve the speed and performance` ,`Make it easier to import and export data` ,`Other (Please specify)`",Have individual sales stats of staff members visible on MPOS. Also have live numbers generated of ACTUAL on MPOS,Store Manager or Assistant Store Manager,,`Using Insights and reports`,,n/a
